Chromosome,Start,End,Length (bp),Number of Covered CpGs,Mean Difference in Block (Normal to Cancer),Mean Normal Methylation in Block,Percentage of evidence from Watson Strand (Normal),Percentage of evidence from Watson Strand (Cancer),Direction of Methylation Change,Block Identifier #
chr7,127014490,127025155,10666,41,0.061,0.574,0.403,0.414,hyper,Block:7035
chr7,127038956,127212769,173814,708,-0.185,0.725,0.455,0.448,hypo,Block:7036
chr7,127234990,127284485,49496,352,-0.137,0.663,0.506,0.521,hypo,Block:7037
chr7,127672918,127681646,8729,78,0.151,0.505,0.56,0.552,hyper,Block:7038
chr7,127738272,127744171,5900,91,0.078,0.48,0.513,0.536,hyper,Block:7039
chr7,127750939,127775402,24464,274,-0.192,0.656,0.513,0.528,hypo,Block:7040
chr7,127776461,127802644,26184,195,-0.122,0.594,0.501,0.49,hypo,Block:7041
chr7,127811202,127841294,30093,247,-0.189,0.639,0.504,0.508,hypo,Block:7042
chr7,127841865,127900802,58938,617,-0.158,0.699,0.512,0.509,hypo,Block:7043
chr7,127903615,127911718,8104,106,0.118,0.459,0.478,0.495,hyper,Block:7044
chr7,127912315,127919610,7296,61,0.113,0.514,0.412,0.456,hyper,Block:7045
chr7,127928450,127940395,11946,26,-0.05,0.902,0.534,0.5,hypo,Block:7046
chr7,128002099,128031140,29042,181,-0.118,0.655,0.485,0.487,hypo,Block:7047
chr7,128054630,128067538,12909,73,-0.091,0.658,0.502,0.527,hypo,Block:7048
chr7,128085564,128095600,10037,85,-0.063,0.507,0.472,0.483,hypo,Block:7049
chr7,128150700,128156058,5359,11,-0.056,0.85,0.582,0.557,hypo,Block:7050
chr7,128174892,128190635,15744,23,0.09,0.568,0.503,0.542,hyper,Block:7051
chr7,128293588,128376756,83169,480,-0.145,0.712,0.508,0.499,hypo,Block:7052
chr7,128417026,128422868,5843,38,-0.059,0.734,0.443,0.387,hypo,Block:7053
chr7,128436430,128468940,32511,307,-0.15,0.724,0.538,0.531,hypo,Block:7054
chr7,128473311,128490209,16899,433,-0.058,0.757,0.468,0.507,hypo,Block:7055
chr7,128510255,128530535,20281,351,-0.102,0.62,0.466,0.479,hypo,Block:7056
chr7,128531382,128550513,19132,223,-0.113,0.604,0.495,0.5,hypo,Block:7057
chr7,128557380,128577752,20373,239,-0.176,0.649,0.53,0.526,hypo,Block:7058
chr7,128696341,128784656,88316,540,-0.152,0.715,0.466,0.491,hypo,Block:7059
chr7,128785148,128804193,19046,138,-0.127,0.625,0.516,0.489,hypo,Block:7060
chr7,128834870,128862323,27454,264,-0.148,0.733,0.52,0.485,hypo,Block:7061
chr7,128871005,128878708,7704,46,0.064,0.681,0.57,0.601,hyper,Block:7062
chr7,128993853,129018261,24409,121,-0.064,0.69,0.532,0.548,hypo,Block:7063
chr7,129143160,129247605,104446,766,-0.156,0.737,0.511,0.517,hypo,Block:7064
chr7,129412506,129418260,5755,112,0.114,0.424,0.506,0.485,hyper,Block:7065
chr7,129428960,129461236,32277,297,-0.163,0.73,0.504,0.53,hypo,Block:7066
chr7,129470016,129478893,8878,91,0.057,0.639,0.487,0.434,hyper,Block:7067
chr7,129570228,129585376,15149,65,0.075,0.641,0.367,0.357,hyper,Block:7068
chr7,129613861,129647946,34086,190,-0.088,0.751,0.505,0.513,hypo,Block:7069
chr7,129693442,129709589,16148,66,-0.091,0.354,0.57,0.547,hypo,Block:7070
chr7,129850514,130039024,188511,1566,-0.185,0.796,0.516,0.503,hypo,Block:7071
chr7,130082282,130124065,41784,174,-0.194,0.682,0.548,0.548,hypo,Block:7072
chr7,130126862,130144806,17945,318,0.157,0.626,0.561,0.551,hyper,Block:7073
chr7,130255215,130261733,6519,16,-0.072,0.946,0.285,0.237,hypo,Block:7074
chr7,130337306,130345971,8666,38,0.054,0.621,0.396,0.385,hyper,Block:7075
chr7,130356402,130417841,61440,277,-0.221,0.662,0.522,0.524,hypo,Block:7076
chr7,130419455,130542685,123231,613,-0.186,0.761,0.541,0.545,hypo,Block:7077
chr7,130557248,130633844,76597,813,-0.189,0.559,0.469,0.465,hypo,Block:7078
chr7,130668850,130695133,26284,207,-0.121,0.62,0.436,0.446,hypo,Block:7079
chr7,130706318,130721173,14856,99,0.058,0.78,0.442,0.451,hyper,Block:7080
chr7,130782159,130788305,6147,55,0.078,0.601,0.45,0.441,hyper,Block:7081
chr7,130799772,130998307,198536,1100,-0.198,0.816,0.519,0.509,hypo,Block:7082
chr7,131026883,131044407,17525,93,-0.056,0.826,0.692,0.686,hypo,Block:7083
chr7,131245524,131630009,384486,2843,-0.218,0.703,0.518,0.52,hypo,Block:7084
chr7,131630519,132256752,626234,5063,-0.224,0.754,0.489,0.487,hypo,Block:7085
chr7,132266873,132467768,200896,1467,-0.238,0.756,0.477,0.479,hypo,Block:7086
chr7,132767132,132937862,170731,892,-0.236,0.748,0.508,0.506,hypo,Block:7087
chr7,133765335,133811940,46606,204,-0.098,0.748,0.503,0.494,hypo,Block:7088
chr7,133812269,133978354,166086,888,-0.214,0.799,0.525,0.527,hypo,Block:7089
chr7,134002011,134136117,134107,986,-0.197,0.733,0.53,0.517,hypo,Block:7090
chr7,134137770,134143093,5324,43,0.149,0.406,0.457,0.43,hyper,Block:7091
chr7,134144106,134151623,7518,31,0.155,0.399,0.395,0.36,hyper,Block:7092
chr7,134154784,134206390,51607,233,-0.214,0.724,0.474,0.485,hypo,Block:7093
chr7,134225885,134335089,109205,675,-0.181,0.691,0.494,0.497,hypo,Block:7094
chr7,134358517,134667215,308699,1897,-0.219,0.725,0.523,0.526,hypo,Block:7095
chr7,134683497,134835492,151996,476,-0.222,0.794,0.505,0.502,hypo,Block:7096
chr7,134849852,134854947,5096,88,0.061,0.46,0.477,0.482,hyper,Block:7097
chr7,134861195,134891926,30732,346,-0.096,0.864,0.469,0.486,hypo,Block:7098
chr7,134900029,135046123,146095,1148,-0.195,0.777,0.488,0.49,hypo,Block:7099
chr7,135177052,135185552,8501,33,0.055,0.639,0.398,0.424,hyper,Block:7100
chr7,135199242,135240883,41642,185,-0.177,0.651,0.504,0.529,hypo,Block:7101
chr7,135381578,135599905,218328,1630,-0.223,0.782,0.52,0.522,hypo,Block:7102
chr7,135634945,135655911,20967,87,0.073,0.729,0.447,0.444,hyper,Block:7103
chr7,135665976,136544505,878530,3428,-0.287,0.717,0.533,0.536,hypo,Block:7104
chr7,136556211,136562452,6242,40,0.114,0.387,0.586,0.567,hyper,Block:7105
chr7,136566655,137526888,960234,4743,-0.265,0.719,0.469,0.464,hypo,Block:7106
chr7,137613530,137645059,31530,234,-0.102,0.775,0.465,0.445,hypo,Block:7107
chr7,137689918,138074052,384135,1678,-0.198,0.79,0.497,0.487,hypo,Block:7108
chr7,138105450,138130146,24697,137,-0.075,0.851,0.528,0.519,hypo,Block:7109
chr7,138270656,138348891,78236,500,-0.162,0.779,0.483,0.481,hypo,Block:7110
chr7,138349470,138516745,167276,1300,-0.202,0.775,0.47,0.473,hypo,Block:7111
chr7,138527772,138533701,5930,55,0.051,0.851,0.446,0.389,hyper,Block:7112
chr7,138575660,138581273,5614,71,-0.054,0.818,0.461,0.442,hypo,Block:7113
chr7,138604659,138619217,14559,128,0.057,0.836,0.517,0.48,hyper,Block:7114
chr7,138670141,138700109,29969,184,-0.13,0.79,0.473,0.48,hypo,Block:7115
chr7,138775324,138789046,13723,107,0.081,0.678,0.461,0.429,hyper,Block:7116
chr7,138811208,138818370,7163,41,-0.084,0.577,0.449,0.455,hypo,Block:7117
chr7,138818658,138824296,5639,36,-0.064,0.607,0.558,0.537,hypo,Block:7118
chr7,138875356,138909673,34318,127,-0.131,0.795,0.484,0.485,hypo,Block:7119
chr7,138917734,138933419,15686,61,0.094,0.543,0.588,0.58,hyper,Block:7120
chr7,138981590,139014736,33147,207,-0.087,0.842,0.558,0.553,hypo,Block:7121
chr7,139051768,139062001,10234,55,0.082,0.673,0.562,0.577,hyper,Block:7122
chr7,139127366,139158523,31158,260,-0.123,0.839,0.471,0.483,hypo,Block:7123
chr7,139173763,139204687,30925,298,-0.123,0.684,0.494,0.489,hypo,Block:7124
chr7,139216205,139247529,31325,328,-0.104,0.793,0.531,0.543,hypo,Block:7125
chr7,139482788,139532411,49624,309,-0.093,0.785,0.502,0.498,hypo,Block:7126
chr7,139755795,139762219,6425,65,-0.069,0.431,0.438,0.442,hypo,Block:7127
chr7,139763306,139782871,19566,153,-0.067,0.629,0.523,0.503,hypo,Block:7128
chr7,139881676,139888678,7003,45,-0.063,0.716,0.478,0.508,hypo,Block:7129
chr7,139921776,139926885,5110,57,0.054,0.595,0.424,0.437,hyper,Block:7130
chr7,139937105,139947510,10406,89,-0.072,0.63,0.536,0.546,hypo,Block:7131
chr7,140033494,140061110,27617,241,-0.084,0.813,0.45,0.436,hypo,Block:7132
chr7,140079401,140090910,11510,68,0.086,0.731,0.395,0.431,hyper,Block:7133
chr7,140214318,140339841,125524,1118,-0.121,0.758,0.491,0.501,hypo,Block:7134
chr7,140627391,140709498,82108,341,-0.144,0.699,0.522,0.509,hypo,Block:7135
chr7,140719606,140761422,41817,141,-0.229,0.632,0.555,0.564,hypo,Block:7136
chr7,140781646,141250973,469328,3141,-0.189,0.735,0.522,0.524,hypo,Block:7137
chr7,141402224,141437889,35666,208,-0.111,0.657,0.507,0.497,hypo,Block:7138
chr7,141535974,141782122,246149,1106,-0.12,0.771,0.528,0.542,hypo,Block:7139
chr7,141819396,142048082,228687,1273,-0.176,0.733,0.524,0.525,hypo,Block:7140
chr7,142127782,142275929,148148,905,-0.181,0.711,0.485,0.484,hypo,Block:7141
chr7,142326234,142488949,162716,738,-0.278,0.698,0.469,0.473,hypo,Block:7142
chr7,142489222,142494541,5320,91,-0.066,0.458,0.516,0.522,hypo,Block:7143
chr7,142495270,142551825,56556,325,-0.202,0.562,0.52,0.515,hypo,Block:7144
chr7,142553322,142954844,401523,2409,-0.262,0.735,0.498,0.502,hypo,Block:7145
chr7,143104694,143110401,5708,90,-0.052,0.54,0.47,0.435,hypo,Block:7146
chr7,143254328,143260730,6403,2,-0.082,0.76,0.617,0.333,hypo,Block:7147
chr7,143276134,143318602,42469,10,-0.113,0.731,0.452,0.459,hypo,Block:7148
chr7,143425173,143452384,27212,65,-0.084,0.804,0.485,0.491,hypo,Block:7149
chr7,143464231,143499363,35133,15,-0.075,0.7,0.359,0.464,hypo,Block:7150
chr7,143535321,143547775,12455,15,-0.067,0.781,0.354,0.343,hypo,Block:7151
chr7,143569355,143594660,25306,200,0.175,0.565,0.459,0.458,hyper,Block:7152
chr7,143601576,143875685,274110,1240,-0.204,0.753,0.497,0.496,hypo,Block:7153
chr7,143915825,143969863,54039,26,-0.1,0.839,0.522,0.594,hypo,Block:7154
chr7,143993260,144024633,31374,11,-0.074,0.793,0.519,0.496,hypo,Block:7155
chr7,144052926,144067763,14838,9,0.073,0.712,0.534,0.642,hyper,Block:7156
chr7,144077776,144219909,142134,854,-0.134,0.787,0.502,0.506,hypo,Block:7157
chr7,144241619,144455282,213664,1025,-0.074,0.845,0.46,0.451,hypo,Block:7158
chr7,144543127,144597654,54528,275,-0.145,0.773,0.553,0.564,hypo,Block:7159
chr7,144605351,145794499,1189149,4859,-0.23,0.731,0.532,0.53,hypo,Block:7160
chr7,145799620,145813008,13389,70,0.099,0.409,0.515,0.537,hyper,Block:7161
chr7,145833098,148036419,2203322,11206,-0.258,0.741,0.513,0.51,hypo,Block:7162
chr7,148048112,148129389,81278,565,-0.085,0.843,0.497,0.492,hypo,Block:7163
chr7,148149534,148391447,241914,1686,-0.194,0.782,0.49,0.486,hypo,Block:7164
chr7,148469655,148476499,6845,60,0.049,0.882,0.554,0.501,hyper,Block:7165
chr7,148569224,148575039,5816,29,0.063,0.542,0.497,0.464,hyper,Block:7166
chr7,148584682,148613802,29121,200,-0.097,0.734,0.483,0.473,hypo,Block:7167
chr7,148638349,148699420,61072,579,-0.097,0.561,0.48,0.479,hypo,Block:7168
chr7,148729669,148757872,28204,151,-0.135,0.676,0.477,0.474,hypo,Block:7169
chr7,148794519,148821542,27024,231,-0.09,0.799,0.503,0.497,hypo,Block:7170
chr7,148881065,148889220,8156,62,-0.088,0.524,0.584,0.581,hypo,Block:7171
chr7,148923514,148936339,12826,86,-0.094,0.593,0.529,0.571,hypo,Block:7172
chr7,148991407,149105952,114546,671,-0.197,0.767,0.514,0.515,hypo,Block:7173
chr7,149160396,149170691,10296,70,-0.1,0.674,0.576,0.525,hypo,Block:7174
chr7,149199727,149237531,37805,111,-0.149,0.68,0.477,0.484,hypo,Block:7175
chr7,149323338,149403054,79717,462,-0.171,0.665,0.487,0.492,hypo,Block:7176
chr7,149405390,149410813,5424,35,0.07,0.513,0.386,0.429,hyper,Block:7177
chr7,149414361,149458250,43890,617,-0.214,0.739,0.499,0.509,hypo,Block:7178
chr7,149471104,149487210,16107,358,-0.163,0.565,0.495,0.506,hypo,Block:7179
chr7,149487786,149535134,47349,883,-0.241,0.725,0.499,0.509,hypo,Block:7180
chr7,149735475,149743569,8095,24,0.117,0.612,0.558,0.428,hyper,Block:7181
chr7,149746550,149767696,21147,23,0.153,0.556,0.377,0.476,hyper,Block:7182
chr7,149885022,149945353,60332,75,0.115,0.721,0.528,0.578,hyper,Block:7183
chr7,150014693,150019899,5207,31,-0.068,0.444,0.528,0.546,hypo,Block:7184
chr7,150028327,150044145,15819,302,0.151,0.622,0.482,0.499,hyper,Block:7185
chr7,150066373,150075909,9537,256,-0.088,0.241,0.52,0.506,hypo,Block:7186
chr7,150079861,150095135,15275,298,0.096,0.66,0.522,0.529,hyper,Block:7187
chr7,150125473,150466262,340790,1782,-0.164,0.752,0.508,0.511,hypo,Block:7188
chr7,150484412,150490682,6271,80,0.062,0.563,0.466,0.459,hyper,Block:7189
chr7,150592201,150639677,47477,532,-0.092,0.663,0.486,0.483,hypo,Block:7190
chr7,150683948,150703681,19734,343,-0.091,0.663,0.529,0.527,hypo,Block:7191
chr7,150843275,150860541,17267,127,-0.127,0.693,0.447,0.444,hypo,Block:7192
chr7,150870193,150910139,39947,726,-0.199,0.694,0.5,0.505,hypo,Block:7193
chr7,150949274,150974110,24837,331,-0.172,0.574,0.47,0.469,hypo,Block:7194
chr7,150974554,151000535,25982,211,-0.189,0.596,0.524,0.536,hypo,Block:7195
chr7,151001081,151027929,26849,217,-0.107,0.65,0.54,0.541,hypo,Block:7196
chr7,151080854,151103537,22684,536,-0.171,0.702,0.479,0.501,hypo,Block:7197
chr7,151112746,151136756,24011,373,-0.189,0.72,0.469,0.465,hypo,Block:7198
chr7,151137370,151145141,7772,70,-0.144,0.629,0.505,0.474,hypo,Block:7199
chr7,151146005,151161389,15385,209,-0.084,0.688,0.485,0.494,hypo,Block:7200
chr7,151220575,151249867,29293,195,-0.113,0.707,0.547,0.542,hypo,Block:7201
chr7,151296987,151306988,10002,109,-0.065,0.882,0.442,0.47,hypo,Block:7202
chr7,151333226,151568744,235519,3752,-0.126,0.82,0.494,0.492,hypo,Block:7203
chr7,151579720,151719130,139411,1310,-0.159,0.724,0.516,0.514,hypo,Block:7204
chr7,151757007,151780871,23865,106,-0.059,0.861,0.549,0.564,hypo,Block:7205
chr7,152080658,152097426,16769,90,-0.067,0.696,0.367,0.365,hypo,Block:7206
chr7,152121461,152131366,9906,51,0.097,0.455,0.419,0.418,hyper,Block:7207
chr7,152138625,152155471,16847,71,-0.109,0.803,0.489,0.458,hypo,Block:7208
chr7,152169755,152340169,170415,1336,-0.167,0.802,0.52,0.522,hypo,Block:7209
chr7,152377847,152455941,78095,469,-0.14,0.75,0.5,0.51,hypo,Block:7210
chr7,152573581,152591404,17824,220,-0.064,0.796,0.508,0.514,hypo,Block:7211
chr7,152594759,152616564,21806,317,-0.106,0.813,0.502,0.511,hypo,Block:7212
chr7,152623334,152629187,5854,46,0.086,0.525,0.565,0.552,hyper,Block:7213
chr7,152635077,153573471,938395,5429,-0.23,0.739,0.517,0.515,hypo,Block:7214
chr7,153591761,153743181,151421,776,-0.226,0.738,0.526,0.531,hypo,Block:7215
chr7,153765173,154270623,505451,3589,-0.237,0.734,0.52,0.518,hypo,Block:7216
chr7,154370704,154705727,335024,4063,-0.195,0.759,0.503,0.507,hypo,Block:7217
chr7,154706068,154728795,22728,244,-0.119,0.634,0.477,0.489,hypo,Block:7218
chr7,154799724,154861763,62040,420,-0.17,0.724,0.528,0.522,hypo,Block:7219
chr7,154862139,155014813,152675,1687,-0.164,0.697,0.495,0.499,hypo,Block:7220
chr7,155020509,155084599,64091,1017,-0.113,0.761,0.498,0.496,hypo,Block:7221
chr7,155097309,155137531,40223,509,-0.161,0.722,0.504,0.506,hypo,Block:7222
chr7,155137918,155158136,20219,383,-0.143,0.583,0.488,0.481,hypo,Block:7223
chr7,155178745,155236473,57729,995,-0.202,0.657,0.494,0.505,hypo,Block:7224
chr7,155261423,155266776,5354,109,0.126,0.284,0.474,0.459,hyper,Block:7225
chr7,155269214,155295047,25834,498,-0.121,0.632,0.503,0.503,hypo,Block:7226
chr7,155306571,155320221,13651,216,-0.157,0.682,0.486,0.471,hypo,Block:7227
chr7,155330438,155384960,54523,1012,-0.166,0.75,0.505,0.501,hypo,Block:7228
chr7,155393787,155435516,41730,401,-0.073,0.735,0.498,0.512,hypo,Block:7229
chr7,155537223,155557449,20227,241,0.065,0.83,0.569,0.594,hyper,Block:7230
chr7,155614935,155625048,10114,197,-0.049,0.763,0.534,0.521,hypo,Block:7231
chr7,155649366,155681275,31910,479,-0.063,0.75,0.511,0.515,hypo,Block:7232
chr7,155691572,155706995,15424,230,-0.063,0.794,0.528,0.53,hypo,Block:7233
chr7,155713150,155737015,23866,311,-0.081,0.745,0.491,0.488,hypo,Block:7234
chr7,155742044,155789498,47455,687,-0.117,0.746,0.518,0.514,hypo,Block:7235
chr7,155803931,155818473,14543,173,-0.056,0.828,0.529,0.538,hypo,Block:7236
chr7,155826328,155851300,24973,371,-0.107,0.786,0.503,0.513,hypo,Block:7237
chr7,155868123,156251322,383200,4581,-0.155,0.792,0.5,0.505,hypo,Block:7238
chr7,156271253,156286409,15157,187,-0.059,0.813,0.461,0.482,hypo,Block:7239
chr7,156304191,156319799,15609,200,-0.06,0.782,0.484,0.481,hypo,Block:7240
chr7,156401461,156409002,7542,117,-0.068,0.482,0.482,0.468,hypo,Block:7241
chr7,156409893,156422356,12464,103,-0.087,0.62,0.423,0.432,hypo,Block:7242
chr7,156499050,156507582,8533,45,0.049,0.82,0.443,0.449,hyper,Block:7243
chr7,156690779,156736056,45278,459,-0.115,0.609,0.489,0.503,hypo,Block:7244
chr7,156783457,156792288,8832,125,0.093,0.617,0.46,0.491,hyper,Block:7245
chr7,156793315,156801182,7868,358,0.108,0.173,0.536,0.523,hyper,Block:7246
chr7,156804448,156810523,6076,97,0.074,0.107,0.508,0.546,hyper,Block:7247
chr7,156821063,156870995,49933,621,-0.18,0.741,0.494,0.494,hypo,Block:7248
chr7,156871326,156930580,59255,660,-0.139,0.744,0.515,0.52,hypo,Block:7249
chr7,157066289,157071762,5474,101,-0.063,0.554,0.549,0.515,hypo,Block:7250
chr7,157072874,157127703,54830,783,-0.149,0.714,0.523,0.507,hypo,Block:7251
chr7,157216513,157361466,144954,2837,-0.174,0.78,0.505,0.501,hypo,Block:7252
chr7,157367635,157469469,101835,2389,-0.088,0.795,0.494,0.49,hypo,Block:7253
chr7,157493044,158108066,615023,10786,-0.118,0.817,0.485,0.489,hypo,Block:7254
chr7,158130411,158216965,86555,1397,-0.12,0.776,0.465,0.462,hypo,Block:7255
chr7,158230693,158284618,53926,1083,-0.077,0.822,0.471,0.479,hypo,Block:7256
chr7,158307672,158353852,46181,892,-0.059,0.819,0.484,0.485,hypo,Block:7257
chr7,158361046,158371339,10294,179,0.06,0.678,0.466,0.49,hyper,Block:7258
chr7,158498118,158518585,20468,205,-0.087,0.736,0.511,0.493,hypo,Block:7259
chr7,158751061,158823135,72075,1293,-0.13,0.712,0.511,0.509,hypo,Block:7260
chr7,158824358,158931197,106840,1575,-0.197,0.752,0.5,0.494,hypo,Block:7261
chr7,158944748,159128488,183741,1293,-0.231,0.769,0.506,0.509,hypo,Block:7262
chr8,40282,46390,6109,4,-0.066,0.814,0.667,0.456,hypo,Block:7263
chr8,185344,351928,166585,1501,-0.16,0.772,0.504,0.506,hypo,Block:7264
chr8,440386,488351,47966,372,-0.145,0.795,0.432,0.437,hypo,Block:7265
chr8,496128,503376,7249,55,0.179,0.355,0.402,0.434,hyper,Block:7266
chr8,506425,587350,80926,1139,-0.144,0.799,0.472,0.477,hypo,Block:7267
chr8,694208,1340874,646667,10181,-0.169,0.787,0.53,0.541,hypo,Block:7268
chr8,1355668,1649341,293674,4732,-0.184,0.781,0.515,0.518,hypo,Block:7269
chr8,1649792,1707952,58161,688,-0.125,0.705,0.483,0.479,hypo,Block:7270
chr8,1738887,1765477,26591,388,-0.085,0.705,0.529,0.541,hypo,Block:7271
chr8,1775770,1796555,20786,513,-0.066,0.821,0.539,0.552,hypo,Block:7272
chr8,1809724,1838295,28572,574,-0.068,0.859,0.543,0.556,hypo,Block:7273
chr8,1845794,1861710,15917,355,-0.057,0.863,0.562,0.555,hypo,Block:7274
chr8,1871614,1888369,16756,369,-0.094,0.78,0.519,0.518,hypo,Block:7275
chr8,1909206,1916676,7471,218,-0.057,0.679,0.526,0.515,hypo,Block:7276
chr8,1959862,1971887,12026,164,-0.118,0.614,0.532,0.538,hypo,Block:7277
chr8,1972426,2075412,102987,1737,-0.166,0.707,0.53,0.522,hypo,Block:7278
chr8,2075841,4842451,2766611,23658,-0.217,0.748,0.491,0.492,hypo,Block:7279
chr8,4856601,6257776,1401176,9775,-0.232,0.745,0.498,0.495,hypo,Block:7280
chr8,6311688,6333005,21318,200,-0.07,0.817,0.56,0.545,hypo,Block:7281
chr8,6414281,6425355,11075,171,0.085,0.668,0.536,0.516,hyper,Block:7282
chr8,6463006,6468475,5470,67,-0.049,0.922,0.456,0.462,hypo,Block:7283
chr8,6505086,6541611,36526,300,-0.086,0.85,0.461,0.475,hypo,Block:7284
chr8,6611538,6691787,80250,1098,-0.159,0.731,0.515,0.511,hypo,Block:7285
chr8,6701491,6988157,286667,1828,-0.176,0.731,0.515,0.522,hypo,Block:7286
chr8,6998718,7012494,13777,37,-0.157,0.81,0.575,0.725,hypo,Block:7287
chr8,7198674,7349923,151250,111,-0.169,0.682,0.498,0.476,hypo,Block:7288
chr8,7369732,7379034,9303,8,-0.177,0.711,0.284,0.458,hypo,Block:7289
chr8,7393560,7401562,8003,5,-0.14,0.731,0.395,0.372,hypo,Block:7290
chr8,7622631,7669538,46908,28,-0.185,0.755,0.551,0.451,hypo,Block:7291
chr8,7685298,7721230,35933,19,-0.212,0.673,0.439,0.531,hypo,Block:7292
chr8,7731334,7742982,11649,6,-0.219,0.671,0.592,0.567,hypo,Block:7293
chr8,7770829,7787370,16542,14,-0.2,0.715,0.696,0.571,hypo,Block:7294
chr8,7866630,7891562,24933,17,-0.083,0.761,0.697,0.632,hypo,Block:7295
chr8,7985920,8003292,17373,8,-0.082,0.78,0.461,0.579,hypo,Block:7296
chr8,8014453,8054034,39582,17,-0.122,0.767,0.693,0.688,hypo,Block:7297
chr8,8134761,8156718,21958,213,-0.071,0.72,0.499,0.497,hypo,Block:7298
chr8,8267979,8294142,26164,159,-0.059,0.76,0.545,0.555,hypo,Block:7299
chr8,8311665,8342447,30783,242,-0.06,0.762,0.517,0.509,hypo,Block:7300
chr8,8435280,8463919,28640,236,-0.055,0.819,0.479,0.483,hypo,Block:7301
chr8,8511809,8549140,37332,302,-0.081,0.747,0.483,0.462,hypo,Block:7302
chr8,8564828,8580453,15626,123,-0.109,0.657,0.487,0.463,hypo,Block:7303
chr8,8581258,8610367,29110,175,-0.077,0.618,0.451,0.447,hypo,Block:7304
chr8,8624388,8639603,15216,110,-0.068,0.745,0.538,0.518,hypo,Block:7305
chr8,8712922,8748623,35702,311,-0.076,0.564,0.421,0.437,hypo,Block:7306
chr8,8912915,8927410,14496,89,-0.054,0.771,0.557,0.54,hypo,Block:7307
chr8,9015998,9186150,170153,1310,-0.149,0.754,0.513,0.506,hypo,Block:7308
chr8,9195107,9280375,85269,659,-0.155,0.701,0.504,0.512,hypo,Block:7309
chr8,9287032,9410331,123300,727,-0.158,0.729,0.497,0.505,hypo,Block:7310
chr8,9644637,9753242,108606,739,-0.176,0.764,0.475,0.488,hypo,Block:7311
chr8,9771557,9905377,133821,984,-0.194,0.675,0.528,0.531,hypo,Block:7312
chr8,9916373,10184880,268508,2556,-0.107,0.849,0.54,0.538,hypo,Block:7313
chr8,10209057,10579343,370287,4691,-0.161,0.771,0.505,0.504,hypo,Block:7314
chr8,10597963,10613302,15340,74,-0.114,0.801,0.415,0.381,hypo,Block:7315
chr8,10699304,10873243,173940,1964,-0.227,0.706,0.484,0.484,hypo,Block:7316
chr8,10874176,10916560,42385,545,-0.199,0.715,0.483,0.48,hypo,Block:7317
chr8,10917130,11055101,137972,1237,-0.234,0.81,0.445,0.442,hypo,Block:7318
chr8,11067792,11137243,69452,571,-0.209,0.666,0.481,0.505,hypo,Block:7319
chr8,11143305,11156564,13260,83,0.075,0.593,0.589,0.565,hyper,Block:7320
chr8,11182525,11198000,15476,90,-0.112,0.805,0.509,0.517,hypo,Block:7321
chr8,11213099,11323710,110612,1308,-0.16,0.695,0.509,0.516,hypo,Block:7322
chr8,11324768,11421273,96506,1188,-0.22,0.691,0.512,0.504,hypo,Block:7323
chr8,11422561,11532153,109593,1335,-0.202,0.671,0.498,0.497,hypo,Block:7324
